Name,Protocols,TVL
Areon Network,1,"$58,645"
Syscoin,4,"$56,867"
Ubiq,1,"$55,948"
Findora,5,"$55,318"
Goerli,1,"$48,774"
REI,6,"$30,351"
Darwinia,1,"$28,265"
JBC,3,"$27,486"
Tenet,2,"$24,274"
MultiVAC,3,"$23,769"
HPB,1,"$22,957"
Milkomeda A1,3,"$22,503"
Cube,3,"$22,054"
Lachain,3,"$20,338"
Planq,1,"$19,147"
Callisto,1,"$18,203"
GoChain,1,"$13,391"
Bitgert,12,"$9,835"
Sifchain,1,"$9,548"
REIchain,1,"$4,821"
Bitnet,1,"$3,912"
Cyber,2,"$2,131"
Lung,1,$980.6
Palm,2,$546.44
AirDAO,1,$158.68
DSC,1,$1.64
Bitkub Chain,1,$1.17
Kusama,1,$0
Celestia,1,$0
Dymension,1,$0
Quicksilver,1,$0
Pokt,1,$0
Sommelier,1,$0
zkSync Lite,4,$0
Stafi,1,$0
Boba_Avax,2,$0
Stride,1,$0
Dexit,3,$0
Nibiru,1,$0
Empire,1,$0
Hoo,4,$0
Echelon,5,$0
CLV,6,$0
CMP,1,$0
Nova Network,2,$0
Genshiro,1,$0
Lamden,1,$0
Polis,1,$0
ZYX,1,$0
Coti,1,$0
Kekchain,3,$0
MUUCHAIN,1,$0
Tlchain,1,$0
Zeniq,1,$0
Bitindi,2,$0
Bone,1,$0
LaChain Network,1,$0
